"ID","Description","Quantity","底数","Designator","MPN","Manufactor"
"2.85","SMD IC PMIC;LOAD-SWITCH-500mA;SOT23-6","1","1","U22","TPD3S014DBVR","TI"
"2.86","SMD IC DCDC;Synchronous Buck Converter,2.5V to 5.5V,6A;SOT563","1","1","U2","TPS62A06DRLR","TI"
"2.87","SMD IC Logic;SC-70-5","1","1","U44","SN74LVC1G06DCKR","TI"
"2.88","SMD IC Logic;SC-70-5","1","1","U79","SN74LVC1G07DCKR","TI"
"2.89","SMD IC Logic;Single Schmitt-Trigger Buffer-SC-70-5","3","1","U59,U72,U78","SN74LVC1G17DCKR","TI"
"2.90","SMD IC Multiplexer Switch;4-Bit 1-of-2 FET Multiplexer/Demultiplexer,2.3V to 3.6V;TSSOP16","2","1","U73,U74","SN74CBTLV3257PWR","TI"
"2.91","SMD IC Logic;Single Buffer/Driver With 3-State Output;SC-70-5","2","1","U81,U83","SN74LV1T125DCKR","TI"
"2.92","SMD IC Logic;Single 2–Input Positive-AND Gate,1.65V to 5.5V;SOT-23-5","7","1","U18,U61,U65,U69,U71,U77,U84","SN74LVC1G08DBVR","TI"
"2.93","SMD IC Logic;4-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation,0.65V to 3.6V;UQFN(16)","2","1","U27,U80","SN74AXC4T245RSVR","TI"
"2.94","SMD IC Interface;QFN-24","1","1","U24","CP2102N-A02-GQFN24R","Silicon Labs"
"2.95","SMD IC Interface;16-Bit 1.8V to 5.5V SPI I/O expander with Open-Drain Outputs;QFN-24-EP","1","1","U42","MCP23S18-E/MJ","Microchip"
"2.96","SMD IC Memory;32Kb-IIC Serial EEPROM;SOT23-5","1","1","U35","FT24C32A-ELRT","FMD"
"2.97","SMD Top Button;4P-L6.0*W6.0*H5.0mm","2","1","SW2,SW3","TD-1101SR-C4C-A1R","DEALON"
"2.98","SMD Top Button 1.57N;4P-L4.6*W3.2*H2.5mm","2","1","S1,S2","TC-3X4X2.5","ChengQi"
"2.99","SMD Joystick;8P-L7.5*W7.5*H6mm","1","1","SW9","BLQ-1502-01-06","DEALON"
"2.100","SMD Optical Sensor;2P-1.7*0.8*0.6mm","1","1","Q7","ALS-PT19-315C/L177/TR8","Everlight"
"2.101","SMD IMU;±16g-±2000°/s;LGA-14-L2.5*W3*H0.83mm","1","1","U33","LSM6DS3TR-C","ST"
"2.102","SMD USB Type-c;12P+4-8.9*7.3*3.2mm","1","1","J1","UBF31-0171","M&T"
"2.103","SMD Black Female Header VERT;1*8P-2.54mm-L20.82-W2.5-H7.1mm","2","1","J20,J21","ST-FH-254-0144-1*8P-B","SINOTOP"
"2.104","SMD FPC Conn;R/A-Bottom Contact;22P-0.5mm-L15.4*W5.35*H2mm","1","1","J24","130-221-220001-W3G","BBJconn"
"2.105","SMD FPC  Top Contact;24+2P-0.5-15.5*5.9*2mm","1","1","J9","FPC0.5K-DH-24AWB","SINOTOP"
"2.106","SMD SD Card Holder;9P-L14.7*W13.8*H1.0mm","1","1","J3","ST-TF-003J","SUNGTECH"
"2.107","SMD Grove Female Header-Beige;4P-2.0-90D","1","1","J25","PHS-4A","SINOTOP"
"2.108","SMD SH Conn;4P-1mm-Ivory-white-R/A;L6.5*W5.55*H2.15mm","2","1","J6,J7","WY-4539","SINOTOP"
"2.109","SMD Stud; M2 bronze pillar, D5.56*1.5mm","4","1","MH1,MH2,MH3,MH4","SMTSO2015CTJ-UL",
"2.110","SMD RES Thermistor NTC 10K-1%;0402","1","1","R639","NCP15XH103F03RC","Murata"
"2.111","SMD Buzzer;Passive-2.5-4.5V-100mA;4P-L8.5*W8.5*H3mm","1","1","B1","MLT-8530H-16R 3.6V","HuaNeng"
"2.112","SMD IC MPU;TI AM62L32BOGHAANBR;2Core Cortex-A53-1.25GHz;FCCSP-373","1","1","U28","AM62L32BOGHAANBR","TI"
"2.113","SMD IC POWER PMIC;3CH-DC-DC-2CH-LDO;QFN-24","1","1","U11","TPS6521401VAFR","TI"
"2.114","SMD Ferrite Bead 26R-100MHz-6A;2P-0603-L*W*Hmm","1","1","FB1","BLM18SG260TN1D","Murata"
"2.115","SMD IC Interface USB Hub;USB 2.0-480Mb/s-2CH-OUT;HTQFN-48","1","1","U19","TUSB4020BIPHPR","TI"
"2.116","SMD Other Conn;5P-L9.5*W4.8*H6.6mm","1","1","J2","ST-BC-Y3103","SUNGTECH"
"2.117","SMD IC Charger Power Path;1cell-Liner-Vsys-4A-Charge-3.5A","1","1","U41","BQ24070RHLR","TI"
"2.118","SMD IC Fuel Gauges;Li-Ion & Li-Polymer-32000mAh;DSBGA-9","1","1","U43","BQ27220YZFR","TI"
"2.119","SMD USB Conn;TYPE-A-Female R/A-USB 2.0-1Port;4P+2P-L13.9*W14.1*H7mm","1","1","J4","U221-041N-4V33-S5","XKB Connection"
"2.120","SMD Inductor 47uH ±20%-950mA-0.579R;2P-L4*W4*H3mm","1","1","L9","SWPA4030S470MT","Sunlord"
"2.121","SMD IC Memory;LPDDR4;ISSI IS43LQ16128A-062BLI;2Gb;FBGA-200","1","1","U29","IS43LQ16128A-062BLI","ISSI"
"2.122","SMD IC Memory;OSPI Flash;ISSI IS25WX256-JHLE;256Mb;FBGA-24","1","1","U34","IS25WX256-JHLE","ISSI"
"2.123","SMD MOSFET N-CH;30V-2V-2A-82mR;SOT-23-3-L*W*Hmm","1","1","Q5","DMN3404L-7","Diodes"
"2.124","SMD RES 15K-1/16W-1%;0402","1","1","R509","RC0402FR-0715KL","YAGEO"
"2.125","SMD CAP Ceramic 10uF-10V-20%-X5R;0402","21","1","C19,C63,C64,C88,C97,C104,C111,C126,C137,C148,C172,C175,C198,C224,C228,C231,C244,C372,C407,C499,C502","CC0402MRX5R6BB106","YAGEO"
"2.126","SMD RES;2.4K-1%-1/16W;0402","1","1","R341","RC0402FR-072K4L","YAGEO"
"2.127","SMD RES 680R-1%-1/16W;0402","1","1","R514","RC0402FR-07680RL","YAGEO"
"2.128","SMD CAP Ceramic 220nF-16V-10%-X7R;0402","1","1","C496","CC0402KRX7R7BB224","YAGEO"
"2.129","SMD Diode ESD-3.3V-14V-0.4pF;DFN1006-2L-L1*W0.6*H0.5mm","2","1","D24,D56","ESD0301L","MDD"
"2.130","PCB;BeagleBadge v1.00-Black-6Layers-1.6mm","1","1",,,
"2.132","Wio-SX1262 Wireless Module （Tape Reel）","1","1","U36","Wio-SX1262",

